Epoca: 312 | Loss: 0.5315 | Accuracy: 88.37%
Epoca: 313 | Loss: 0.5303 | Accuracy: 88.37%
Epoca: 314 | Loss: 0.5291 | Accuracy: 88.37%
Epoca: 315 | Loss: 0.5278 | Accuracy: 88.37%
Epoca: 316 | Loss: 0.5266 | Accuracy: 88.37%
Epoca: 317 | Loss: 0.5253 | Accuracy: 88.37%
Epoca: 318 | Loss: 0.5241 | Accuracy: 88.37%
Epoca: 319 | Loss: 0.5228 | Accuracy: 88.37%
Epoca: 320 | Loss: 0.5216 | Accuracy: 88.37%
Epoca: 321 | Loss: 0.5203 | Accuracy: 88.37%
Epoca: 322 | Loss: 0.5191 | Accuracy: 88.37%
Epoca: 323 | Loss: 0.5178 | Accuracy: 88.37%
Epoca: 324 | Loss: 0.5166 | Accuracy: 88.37%
Epoca: 325 | Loss: 0.5153 | Accuracy: 88.57%
Epoca: 326 | Loss: 0.5141 | Accuracy: 88.57%
Epoca: 327 | Loss: 0.5128 | Accuracy: 88.57%
Epoca: 328 | Loss: 0.5115 | Accuracy: 88.78%
Epoca: 329 | Loss: 0.5103 | Accuracy: 88.78%
Epoca: 330 | Loss: 0.5090 | Accuracy: 88.98%
Epoca: 331 | Loss: 0.5078 | Accuracy: 88.98%
Epoca: 332 | Loss: 0.5065 | Accuracy: 88.98%
Epoca: 333 | Loss: 0.5052 | Accuracy: 88.98%
Epoca: 334 | Loss: 0.5040 | Accuracy: 88.98%
Epoca: 335 | Loss: 0.5027 | Accuracy: 89.18%
Epoca: 336 | Loss: 0.5014 | Accuracy: 89.18%
Epoca: 337 | Loss: 0.5002 | Accuracy: 89.39%
Epoca: 338 | Loss: 0.4989 | Accuracy: 89.39%
Epoca: 339 | Loss: 0.4976 | Accuracy: 89.39%
Epoca: 340 | Loss: 0.4964 | Accuracy: 89.39%
Epoca: 341 | Loss: 0.4951 | Accuracy: 89.39%
Epoca: 342 | Loss: 0.4938 | Accuracy: 89.39%
Epoca: 343 | Loss: 0.4926 | Accuracy: 89.39%
Epoca: 344 | Loss: 0.4913 | Accuracy: 89.39%
Epoca: 345 | Loss: 0.4900 | Accuracy: 89.39%
Epoca: 346 | Loss: 0.4888 | Accuracy: 89.39%
Epoca: 347 | Loss: 0.4875 | Accuracy: 89.39%
Epoca: 348 | Loss: 0.4862 | Accuracy: 89.39%
Epoca: 349 | Loss: 0.4850 | Accuracy: 89.59%
Epoca: 350 | Loss: 0.4837 | Accuracy: 89.80%
Epoca: 351 | Loss: 0.4824 | Accuracy: 89.80%
Epoca: 352 | Loss: 0.4812 | Accuracy: 89.80%
Epoca: 353 | Loss: 0.4799 | Accuracy: 89.80%
Epoca: 354 | Loss: 0.4786 | Accuracy: 90.00%
Epoca: 355 | Loss: 0.4774 | Accuracy: 90.00%
Epoca: 356 | Loss: 0.4761 | Accuracy: 90.00%
Epoca: 357 | Loss: 0.4748 | Accuracy: 90.00%
Epoca: 358 | Loss: 0.4736 | Accuracy: 90.20%
Epoca: 359 | Loss: 0.4723 | Accuracy: 90.20%
Epoca: 360 | Loss: 0.4711 | Accuracy: 90.20%
Epoca: 361 | Loss: 0.4698 | Accuracy: 90.20%
Epoca: 362 | Loss: 0.4686 | Accuracy: 90.00%
Epoca: 363 | Loss: 0.4673 | Accuracy: 90.00%
Epoca: 364 | Loss: 0.4660 | Accuracy: 90.00%
Epoca: 365 | Loss: 0.4648 | Accuracy: 90.00%
Epoca: 366 | Loss: 0.4635 | Accuracy: 90.00%
Epoca: 367 | Loss: 0.4623 | Accuracy: 90.00%
Epoca: 368 | Loss: 0.4610 | Accuracy: 90.00%
Epoca: 369 | Loss: 0.4598 | Accuracy: 90.00%
Epoca: 370 | Loss: 0.4586 | Accuracy: 90.00%
Epoca: 371 | Loss: 0.4573 | Accuracy: 90.00%
Epoca: 372 | Loss: 0.4561 | Accuracy: 90.00%
Epoca: 373 | Loss: 0.4548 | Accuracy: 90.00%
Epoca: 374 | Loss: 0.4536 | Accuracy: 90.00%
Epoca: 375 | Loss: 0.4524 | Accuracy: 90.20%
Epoca: 376 | Loss: 0.4511 | Accuracy: 90.20%
Epoca: 377 | Loss: 0.4499 | Accuracy: 90.20%
Epoca: 378 | Loss: 0.4487 | Accuracy: 90.20%
Epoca: 379 | Loss: 0.4474 | Accuracy: 90.41%
Epoca: 380 | Loss: 0.4462 | Accuracy: 90.61%
Epoca: 381 | Loss: 0.4450 | Accuracy: 90.61%
Epoca: 382 | Loss: 0.4438 | Accuracy: 90.61%
Epoca: 383 | Loss: 0.4426 | Accuracy: 90.61%
Epoca: 384 | Loss: 0.4413 | Accuracy: 90.61%
Epoca: 385 | Loss: 0.4401 | Accuracy: 90.61%
Epoca: 386 | Loss: 0.4389 | Accuracy: 90.61%
Epoca: 387 | Loss: 0.4377 | Accuracy: 90.61%
Epoca: 388 | Loss: 0.4365 | Accuracy: 90.41%
Epoca: 389 | Loss: 0.4353 | Accuracy: 90.41%
Epoca: 390 | Loss: 0.4341 | Accuracy: 90.41%
Epoca: 391 | Loss: 0.4329 | Accuracy: 90.41%
Epoca: 392 | Loss: 0.4317 | Accuracy: 90.41%
Epoca: 393 | Loss: 0.4305 | Accuracy: 90.41%
Epoca: 394 | Loss: 0.4293 | Accuracy: 90.41%
Epoca: 395 | Loss: 0.4282 | Accuracy: 90.41%
Epoca: 396 | Loss: 0.4270 | Accuracy: 90.61%
Epoca: 397 | Loss: 0.4258 | Accuracy: 90.61%
Epoca: 398 | Loss: 0.4246 | Accuracy: 90.61%
Epoca: 399 | Loss: 0.4234 | Accuracy: 90.61%
Epoca: 400 | Loss: 0.4223 | Accuracy: 90.61%
Epoca: 401 | Loss: 0.4211 | Accuracy: 90.61%
Epoca: 402 | Loss: 0.4199 | Accuracy: 90.61%
Epoca: 403 | Loss: 0.4188 | Accuracy: 90.61%
Epoca: 404 | Loss: 0.4176 | Accuracy: 90.61%
Epoca: 405 | Loss: 0.4165 | Accuracy: 90.61%
Epoca: 406 | Loss: 0.4153 | Accuracy: 90.61%
Epoca: 407 | Loss: 0.4142 | Accuracy: 90.61%
Epoca: 408 | Loss: 0.4130 | Accuracy: 90.61%
Epoca: 409 | Loss: 0.4119 | Accuracy: 90.61%
Epoca: 410 | Loss: 0.4107 | Accuracy: 90.61%
Epoca: 411 | Loss: 0.4096 | Accuracy: 90.61%
Epoca: 412 | Loss: 0.4085 | Accuracy: 90.82%
Epoca: 413 | Loss: 0.4073 | Accuracy: 90.82%
Epoca: 414 | Loss: 0.4062 | Accuracy: 90.82%
Epoca: 415 | Loss: 0.4051 | Accuracy: 90.82%
Epoca: 416 | Loss: 0.4039 | Accuracy: 90.82%
Epoca: 417 | Loss: 0.4028 | Accuracy: 90.82%
Epoca: 418 | Loss: 0.4017 | Accuracy: 90.82%
Epoca: 419 | Loss: 0.4006 | Accuracy: 90.82%
Epoca: 420 | Loss: 0.3995 | Accuracy: 90.82%
Epoca: 421 | Loss: 0.3984 | Accuracy: 90.82%
Epoca: 422 | Loss: 0.3973 | Accuracy: 90.82%
Epoca: 423 | Loss: 0.3962 | Accuracy: 90.82%
Epoca: 424 | Loss: 0.3951 | Accuracy: 90.82%
Epoca: 425 | Loss: 0.3940 | Accuracy: 90.82%
Epoca: 426 | Loss: 0.3929 | Accuracy: 90.82%
Epoca: 427 | Loss: 0.3918 | Accuracy: 91.02%
Epoca: 428 | Loss: 0.3908 | Accuracy: 91.02%
Epoca: 429 | Loss: 0.3897 | Accuracy: 91.02%
Epoca: 430 | Loss: 0.3886 | Accuracy: 91.02%
Epoca: 431 | Loss: 0.3875 | Accuracy: 91.02%
Epoca: 432 | Loss: 0.3865 | Accuracy: 91.02%
Epoca: 433 | Loss: 0.3854 | Accuracy: 91.02%
Epoca: 434 | Loss: 0.3843 | Accuracy: 91.02%
